original_file,new_file,notes
A1_baseline_3same.heic,A1_baseline.jpg,3 same coins
A2_baseline_5same.heic,A2_baseline.jpg,5 same coins
A3_baseline_3different_spaceout.heic,A3_baseline.jpg,3 different coins, spaced out
A4_baseline_5mixed.heic,A4_baseline.jpg,5 mixed coins
B6_Illum_Dim indoor light.HEIC,B1_dim.jpg,dim indoor light
B7_Illum_Harsh direct sunlight.heic,B2_harsh.jpg,harsh direct sunlight
B8_Illum_Side-lit.heic,B3_sidelit.jpg,side-lit
B9_Illum_yellow:warm bulb.heic,B4_warmbulb.jpg,yellow/warm bulb
B10_Illum_Flash On.heic,B5_flash.jpg,flash on
C11_backvar_wood-grain surface.heic,C1_wood.jpg,wood-grain surface
C12_backvar_Patterned cloth.heic,C2_cloth.jpg,patterned cloth
C13_backvar_Dark surface.heic,C3_dark.jpg,dark surface
C14_backvar_printed page.heic,C4_newspaper.jpg,printed page
D15_touch_3 coins touching edge-to-edge in a row.heic,D1_touch.jpg,3 coins touching edge-to-edge in a row
D16_Touch_edges touching.heic,D2_touch.jpg,edges touching
D17_touch_coinoverallap.HEIC,D3_touch.jpg,coins overlapping
D18_Touch_mixed case.heic,D4_touch.jpg,mixed touching case
E19_sacelvar_coins fill frame.heic,E1_close.jpg,coins fill frame
E20_scalevar_Camera-at-normal.heic,E2_normal.jpg,camera at normal distance
E21_Scalevar_camera-far.heic,E3_far.jpg,camera far
F22_Advers_Slightly out of focus.heic,F1_outoffocus.jpg,slightly out of focus
F23_Adver_Motion blur.heic,F2_motionblur.jpg,motion blur
f24_Advers_Clutter Backg.heic,F3_cluttered.jpg,cluttered background
F24_Adver_Verypoorlights.heic,F4_verydark.jpg,very poor light
