image,method,iou,precision,recall,f1
A1_baseline.jpg,threshold,0.895,0.979,0.913,0.945
A1_baseline.jpg,region_growing,0.47,0.956,0.48,0.639
A1_baseline.jpg,kmeans_k2,0.895,0.979,0.913,0.945
A4_baseline.jpg,threshold,0.827,0.85,0.969,0.905
A4_baseline.jpg,region_growing,0.711,0.893,0.778,0.831
A4_baseline.jpg,kmeans_k2,0.827,0.85,0.969,0.905
B2_harsh.jpg,threshold,0.829,0.849,0.973,0.907
B2_harsh.jpg,region_growing,0.494,0.694,0.632,0.662
B2_harsh.jpg,kmeans_k2,0.829,0.849,0.973,0.907
B5_flash.jpg,threshold,0.887,0.96,0.921,0.94
B5_flash.jpg,region_growing,0.693,0.974,0.707,0.819
B5_flash.jpg,kmeans_k2,0.887,0.96,0.921,0.94
C2_cloth.jpg,threshold,0.232,0.238,0.902,0.376
C2_cloth.jpg,region_growing,0.837,0.97,0.86,0.912
C2_cloth.jpg,kmeans_k2,0.27,0.279,0.899,0.426
D3_touch.jpg,threshold,0.166,0.166,1.0,0.285
D3_touch.jpg,region_growing,0.057,0.057,0.992,0.107
D3_touch.jpg,kmeans_k2,0.201,0.201,1.0,0.335
E2_normal.jpg,threshold,0.897,0.911,0.982,0.945
E2_normal.jpg,region_growing,0.887,0.909,0.974,0.94
E2_normal.jpg,kmeans_k2,0.897,0.911,0.982,0.945
F4_verydark.jpg,threshold,0.828,0.864,0.952,0.906
F4_verydark.jpg,region_growing,0.723,0.744,0.962,0.839
F4_verydark.jpg,kmeans_k2,0.828,0.864,0.952,0.906
