image,k,count,total_area,time_sec
A1_baseline.jpg,2,3,20482,0.0676
A1_baseline.jpg,3,10,200597,0.1326
A1_baseline.jpg,4,9,201471,0.1283
A2_baseline.jpg,2,5,27354,0.0617
A2_baseline.jpg,3,14,183753,0.1479
A2_baseline.jpg,4,7,253877,0.15
A3_baseline.jpg,2,3,23031,0.0714
A3_baseline.jpg,3,3,24457,0.0697
A3_baseline.jpg,4,6,94209,0.1796
A4_baseline.jpg,2,5,53571,0.0816
A4_baseline.jpg,3,5,56088,0.1837
A4_baseline.jpg,4,5,56682,0.3086
B1_dim.jpg,2,3,192395,0.0923
B1_dim.jpg,3,4,229857,0.1842
B1_dim.jpg,4,2,402286,0.2634
B2_harsh.jpg,2,4,29592,0.0902
B2_harsh.jpg,3,24,408795,0.1732
B2_harsh.jpg,4,24,409606,0.2523
B3_sidelit.jpg,2,4,234460,0.1503
B3_sidelit.jpg,3,4,259509,0.1583
B3_sidelit.jpg,4,2,365347,0.2179
B4_warmbulb.jpg,2,3,25525,0.1625
B4_warmbulb.jpg,3,2,468488,0.2661
B4_warmbulb.jpg,4,4,475717,0.2329
B5_flash.jpg,2,3,32812,0.109
B5_flash.jpg,3,6,507213,0.2056
B5_flash.jpg,4,6,507919,0.2719
C1_wood.jpg,2,45,367604,0.2364
C1_wood.jpg,3,35,451515,0.3389
C1_wood.jpg,4,112,310768,0.4518
C2_cloth.jpg,2,57,155551,0.2251
C2_cloth.jpg,3,67,270691,0.285
C2_cloth.jpg,4,68,471874,0.3368
C3_dark.jpg,2,6,125681,0.1214
C3_dark.jpg,3,4,294914,0.1743
C3_dark.jpg,4,6,325629,0.2616
C4_newspaper.jpg,2,136,86085,0.1629
C4_newspaper.jpg,3,182,123501,0.1962
C4_newspaper.jpg,4,42,505095,0.3343
D1_touch.jpg,2,1,30503,0.1234
D1_touch.jpg,3,3,432539,0.1335
D1_touch.jpg,4,3,432539,0.3222
D2_touch.jpg,2,1,51106,0.0979
D2_touch.jpg,3,7,438938,0.1542
D2_touch.jpg,4,1,457139,0.239
D3_touch.jpg,2,4,113081,0.1551
D3_touch.jpg,3,6,239746,0.1684
D3_touch.jpg,4,3,468724,0.2159
D4_touch.jpg,2,5,74903,0.0945
D4_touch.jpg,3,7,277028,0.2734
D4_touch.jpg,4,1,501204,0.2446
E1_close.jpg,2,4,114381,0.0922
E1_close.jpg,3,11,368826,0.1567
E1_close.jpg,4,4,404524,0.2482
E2_normal.jpg,2,4,19839,0.0534
E2_normal.jpg,3,4,20221,0.1975
E2_normal.jpg,4,20,347516,0.2556
E3_far.jpg,2,1,232503,0.0597
E3_far.jpg,3,1,185405,0.1145
E3_far.jpg,4,1,275487,0.1102
F1_outoffocus.jpg,2,4,50003,0.1397
F1_outoffocus.jpg,3,6,227482,0.2599
F1_outoffocus.jpg,4,1,646581,0.2863
F2_motionblur.jpg,2,4,36716,0.0889
F2_motionblur.jpg,3,6,40522,0.1417
F2_motionblur.jpg,4,8,326023,0.2562
F3_cluttered.jpg,2,18,136256,0.1003
F3_cluttered.jpg,3,15,200913,0.3309
F3_cluttered.jpg,4,13,203351,0.2956
F4_verydark.jpg,2,4,40775,0.1224
F4_verydark.jpg,3,15,308782,0.162
F4_verydark.jpg,4,17,307104,0.2602
