image,noise_sigma,method,object_count
A1_baseline.jpg,0,threshold,3
A1_baseline.jpg,0,region_growing,2
A1_baseline.jpg,0,kmeans_k2,3
A1_baseline.jpg,10,threshold,4
A1_baseline.jpg,10,region_growing,2
A1_baseline.jpg,10,kmeans_k2,4
A1_baseline.jpg,20,threshold,3
A1_baseline.jpg,20,region_growing,3
A1_baseline.jpg,20,kmeans_k2,3
A1_baseline.jpg,30,threshold,3
A1_baseline.jpg,30,region_growing,0
A1_baseline.jpg,30,kmeans_k2,3
A1_baseline.jpg,40,threshold,3
A1_baseline.jpg,40,region_growing,0
A1_baseline.jpg,40,kmeans_k2,3
A4_baseline.jpg,0,threshold,5
A4_baseline.jpg,0,region_growing,5
A4_baseline.jpg,0,kmeans_k2,5
A4_baseline.jpg,10,threshold,5
A4_baseline.jpg,10,region_growing,5
A4_baseline.jpg,10,kmeans_k2,5
A4_baseline.jpg,20,threshold,5
A4_baseline.jpg,20,region_growing,2
A4_baseline.jpg,20,kmeans_k2,5
A4_baseline.jpg,30,threshold,5
A4_baseline.jpg,30,region_growing,5
A4_baseline.jpg,30,kmeans_k2,5
A4_baseline.jpg,40,threshold,5
A4_baseline.jpg,40,region_growing,0
A4_baseline.jpg,40,kmeans_k2,5
