image,method,count,total_area,avg_perimeter,time_sec
A1_baseline.jpg,threshold,3,20482,309.7,0.0019
A1_baseline.jpg,region_growing,2,11039,315.7,0.0051
A1_baseline.jpg,kmeans_k2,3,20482,309.7,0.0672
A2_baseline.jpg,threshold,5,27354,286.6,0.0015
A2_baseline.jpg,region_growing,0,0,0,0.004
A2_baseline.jpg,kmeans_k2,5,27354,286.6,0.095
A3_baseline.jpg,threshold,3,23031,331.7,0.0015
A3_baseline.jpg,region_growing,3,22641,338.7,0.0052
A3_baseline.jpg,kmeans_k2,3,23031,331.7,0.0862
A4_baseline.jpg,threshold,5,53571,392.1,0.0017
A4_baseline.jpg,region_growing,5,40901,335.0,0.0058
A4_baseline.jpg,kmeans_k2,5,53571,392.1,0.0766
B1_dim.jpg,threshold,4,211770,933.6,0.0016
B1_dim.jpg,region_growing,2,466959,3000.1,0.0051
B1_dim.jpg,kmeans_k2,4,211770,933.6,0.1105
B2_harsh.jpg,threshold,4,29592,334.4,0.0015
B2_harsh.jpg,region_growing,3,23490,403.6,0.0046
B2_harsh.jpg,kmeans_k2,4,29592,334.4,0.0952
B3_sidelit.jpg,threshold,4,234460,784.4,0.0013
B3_sidelit.jpg,region_growing,2,388899,3158.8,0.0049
B3_sidelit.jpg,kmeans_k2,4,240651,790.7,0.1692
B4_warmbulb.jpg,threshold,3,25525,350.3,0.0018
B4_warmbulb.jpg,region_growing,3,24303,371.2,0.0055
B4_warmbulb.jpg,kmeans_k2,3,25525,350.3,0.1015
B5_flash.jpg,threshold,3,32812,395.4,0.0017
B5_flash.jpg,region_growing,2,24835,472.8,0.0057
B5_flash.jpg,kmeans_k2,3,32812,395.4,0.0849
C1_wood.jpg,threshold,59,277195,360.7,0.0016
C1_wood.jpg,region_growing,1,758374,3582.3,0.0165
C1_wood.jpg,kmeans_k2,48,397745,424.9,0.2245
C2_cloth.jpg,threshold,72,140593,222.9,0.0014
C2_cloth.jpg,region_growing,5,34363,310.0,0.0047
C2_cloth.jpg,kmeans_k2,71,132682,229.8,0.1873
C3_dark.jpg,threshold,6,125681,608.3,0.0014
C3_dark.jpg,region_growing,3,340347,2025.4,0.0054
C3_dark.jpg,kmeans_k2,6,125681,608.3,0.1401
C4_newspaper.jpg,threshold,140,87544,82.9,0.0019
C4_newspaper.jpg,region_growing,3,83388,3945.0,0.0062
C4_newspaper.jpg,kmeans_k2,144,89287,84.8,0.1607
D1_touch.jpg,threshold,1,30503,1017.5,0.0016
D1_touch.jpg,region_growing,2,29846,521.2,0.0054
D1_touch.jpg,kmeans_k2,1,30503,1017.5,0.0731
D2_touch.jpg,threshold,1,51106,1129.9,0.0015
D2_touch.jpg,region_growing,1,50511,1152.1,0.0057
D2_touch.jpg,kmeans_k2,1,51106,1129.9,0.086
D3_touch.jpg,threshold,5,164858,685.8,0.0015
D3_touch.jpg,region_growing,1,479886,4182.1,0.0056
D3_touch.jpg,kmeans_k2,4,113081,721.0,0.1428
D4_touch.jpg,threshold,5,74903,534.9,0.0017
D4_touch.jpg,region_growing,5,182023,1124.9,0.0055
D4_touch.jpg,kmeans_k2,5,75966,537.0,0.0933
E1_close.jpg,threshold,4,114381,640.9,0.0017
E1_close.jpg,region_growing,4,105092,640.2,0.0058
E1_close.jpg,kmeans_k2,4,114381,640.9,0.0985
E2_normal.jpg,threshold,4,19915,267.5,0.0015
E2_normal.jpg,region_growing,4,19803,271.5,0.0045
E2_normal.jpg,kmeans_k2,4,19839,267.0,0.0521
E3_far.jpg,threshold,1,232503,2204.3,0.0009
E3_far.jpg,region_growing,1,91823,1279.1,0.0033
E3_far.jpg,kmeans_k2,1,232503,2204.3,0.0457
F1_outoffocus.jpg,threshold,4,50003,420.1,0.0018
F1_outoffocus.jpg,region_growing,4,48796,417.2,0.0059
F1_outoffocus.jpg,kmeans_k2,4,50003,420.1,0.0919
F2_motionblur.jpg,threshold,4,36716,584.3,0.0017
F2_motionblur.jpg,region_growing,1,12628,425.9,0.0049
F2_motionblur.jpg,kmeans_k2,4,36716,584.3,0.1195
F3_cluttered.jpg,threshold,18,136256,340.0,0.0016
F3_cluttered.jpg,region_growing,8,117946,666.4,0.006
F3_cluttered.jpg,kmeans_k2,18,136256,340.0,0.1204
F4_verydark.jpg,threshold,4,40775,381.4,0.0018
F4_verydark.jpg,region_growing,4,47844,437.9,0.0058
F4_verydark.jpg,kmeans_k2,4,40775,381.4,0.0703
